Player Name,Team Name,League,Nationality,Country ,Age,Height,Pos,GP,EFF,MPG,PPG,RPG,ORB,DRB,APG,BPG,SPG,PF,FTA,FTM,FT%,2PA,2PM,2P%,3PA,3PM,3P%,TO,TYPE
Almeida Joao,Sampaense,Proliga,Brazilian,Portugal,19,195,F/G,12,"0,7","3,3","1,1","0,3",0,"0,3",0,0,0,"0,4","0,9","0,5","55,6","0,4","0,2",50,"0,2","0,1",50,"0,1",
Araujo Juan,Juvemaia,1.Divisao,Brazilian,Portugal,19,,F/C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nascimento Ederson,Corinthians,LDB U20,Brazilian,Brazil,19,199,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lima Lucas,Montverde Acad.,NIBC,Brazilian,USA,19,198,SF,,,,,,,,,,,,,,,,,,,,,,High School
Candido Andre,Pinheiros,LDB U20,Brazilian,Brazil,19,197,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fernandes Fernando,Minas,NBB,Brazilian,Brazil,19,196,G,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,
Armani Otavio,Layton Christian,,Brazilian,USA,19,196,SF,,,,,,,,,,,,,,,,,,,,,,High School
Abreu Leandro,Bauru,NBB,Brazilian,Brazil,19,195,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrade Igor,Sao Paulo,NBB,Brazilian,Brazil,19,195,SF,6,0,"1,2","0,5",0,0,0,0,0,0,"0,3",0,0,0,0,0,0,"0,2","0,2",100,"0,2",
Silva Joao,Santos,CBB,Brazilian,Brazil,19,193,SF,6,"0,5","3,3","0,3","0,3","0,2","0,2","0,3",0,0,0,0,0,0,"0,5","0,2",40,"0,2",0,0,0,
Chiaretto Ivo,Ponta Grossa,Parana,Brazilian,Brazil,19,191,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colinski Luis,Sesi Franca,NBB,Brazilian,Brazil,19,191,G,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Stocco Rafael,Botafogo,NBB,Brazilian,Brazil,19,190,PG,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
Venancio Alisson,Corinthians,LDB U20,Brazilian,Brazil,19,188,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bortoluzzi Enzo,Blumenau,CBB,Brazilian,Brazil,19,186,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Caldeira Gabriel,Sao Jose,NBB,Brazilian,Brazil,19,185,PG,17,"0,7","4,5","0,9","0,7","0,3","0,4","0,7",0,"0,1","0,6","0,2","0,2",100,"0,2",0,0,"0,5","0,2",40,"0,5",
Tasso Bruno,Latina,Serie C,Brazilian,Italy,19,185,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Segantini Lucas,Mogi,LDB U20,Brazilian,Brazil,19,184,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
De Souza Caua,Veritas Prep (CA),,Brazilian,USA,19,183,PG,,,,,,,,,,,,,,,,,,,,,,High School
Bianchi Enrico,Corinthians,LDB U20,Brazilian,Brazil,19,182,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nickel Joao,Sao Jose,NBB,Brazilian,Brazil,19,181,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cortez Akin,Mogi,LDB U20,Brazilian,Brazil,19,180,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Santos Kevin,Vasco da Gama,NBB,Brazilian,Brazil,19,180,PG,11,"2,1",7,"1,9","1,5","0,3","1,2","0,5",0,"0,4","0,6","0,5","0,3",60,1,"0,3",30,"0,7","0,4","57,1","0,2",
Felinto Igor,UniFacisa,NBB,Brazilian,Brazil,19,178,PG,2,0,"1,5",0,"0,5",0,"0,5",0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,
Machini Joao,Sesi Franca,NBB,Brazilian,Brazil,19,171,G,11,"1,9",6,"1,5",1,0,1,"1,4",0,"0,2","0,8","0,2","0,2",100,"1,1","0,5","45,5","0,6","0,1","16,7","0,6",
Cardoso Ryan,Pinheiros,LDB U20,Brazilian,Brazil,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cunha Isaque,Brasilia,NBB,Brazilian,Brazil,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pansica Daniel,Sao Paulo,LDB U20,Brazilian,Brazil,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sales Guilherme,Mogi,LDB U20,Brazilian,Brazil,19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tesch Gui,Evansville,MVC,Brazilian,USA,20,206,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCAA 1
Cavero Nicolas,Osasco,CBB,Brazilian,Brazil,20,205,PF,6,"2,5","12,8","2,3","3,8","1,8",2,"0,3","1,2","0,3","1,3","0,7","0,3","42,9","2,7",1,37,"0,8",0,0,"0,8",
Godoi Jhonatan,Sao Paulo,NBB,Brazilian,Brazil,20,205,F/C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pacheco Afonso,Sao Jose,NBB,Brazilian,Brazil,20,205,PF,8,"1,3","5,1","1,1","1,3",1,"0,3","0,3","0,1","0,1","0,4","0,1","0,1",100,1,"0,5",50,0,0,0,"0,8",
Carvalho Vitor,Pinheiros,NBB,Brazilian,Brazil,20,204,C,11,"0,1","4,9","0,9","0,7","0,5","0,3","0,1","0,1","0,1","0,6","0,2",0,0,"1,5","0,5","33,3","0,2",0,0,"0,2",
Dias Kaick,Sao Jose,LDB U20,Brazilian,Brazil,20,204,PF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nunes Jordan,Uniara/Arar.,NLB Southern Div.,Brazilian,Brazil,20,204,F/C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Silva Breno,UIW,Sthl,Brazilian,USA,20,203,F,15,"1,9","9,5","3,9","0,7","0,1","0,7","0,1",0,"0,3","0,9","0,7","0,5","71,4","0,1","0,1",100,"2,5","1,1",44,"0,5",NCAA 1
Bolis Rodolfo,EIU,OVC,Brazilian,USA,20,201,F,31,"2,8","11,4","1,7","3,3","1,3",2,"0,5","0,7","0,6","2,1","0,8","0,4",50,"1,7","0,7","41,2",0,0,0,"0,5",NCAA 1
Almeida Joao,Sesi Franca,NBB,Brazilian,Brazil,20,200,C,4,"2,5","3,8","2,3",1,"0,5","0,5","0,5",0,"0,3","0,5",0,0,0,"0,8","0,8",100,"0,8","0,3","37,5","0,5",
Contreras Francisco,Caxias do Sul,NBB,Brazilian,Brazil,20,200,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fachin Luiggi,Pinheiros,NBB,Brazilian,Brazil,20,200,F,6,"-0,2",2,"0,7","0,5","0,3","0,2",0,0,0,"0,5",0,0,0,"0,8","0,3","37,5","0,2",0,0,"0,2",
Sciamarella Roberto,Botafogo,NBB,Brazilian,Brazil,20,200,F,2,2,"0,5",0,"1,5",1,"0,5","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,
Silva Jonathan,Ovarense,Liga Betclic,Brazilian,Portugal,20,200,C,18,5,"15,1","4,4","3,1","1,5","1,6","1,1","0,3","0,5","2,4","1,9","1,2","63,2","2,6","1,6","61,5","0,2",0,0,"1,1",
Brandao Vitor,Paulistano,NBB,Brazilian,Brazil,20,199,G,16,"3,4","12,3","3,1","1,9","0,3","1,6","0,8",0,"0,6","0,3","0,8","0,4",50,"1,6","0,7","43,8","1,4","0,4","28,6","0,6",
Neto Silvio,Paulistano,NBB,Brazilian,Brazil,20,199,F,10,"-0,1","3,1","0,2","0,5","0,2","0,3",0,"0,1",0,"0,7",0,0,0,"0,2","0,1",50,0,0,0,"0,2",
Filho Deilson,Vitoria,CBB,Brazilian,Brazil,20,198,SF,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jesus Joao Henrique,Vitoria,CBB,Brazilian,Brazil,20,198,SF,2,"-0,5","3,5",0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,
Silva Caio,Gafanha,CNB2,Brazilian,Portugal,20,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maffezzolli Marcus,Brusque,CBB,Brazilian,Brazil,20,197,F,5,"4,4","16,6","5,6","2,4","0,8","1,6","0,6","0,2","0,8","0,6","3,4",2,"58,8",2,"1,2",60,"1,6","0,4",25,"1,2",
Fernandes Joao,St.Edward's,LSC,Brazilian,USA,20,196,G,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NCAA2
Nunes Fellipe,Botafogo,NBB,Brazilian,Brazil,20,194,G,10,"0,8","5,1","1,7","0,9","0,4","0,5",0,0,0,"0,8","0,3","0,2","66,7","0,7","0,3","42,9","0,6","0,3",50,"0,2",
